Session ID,Project,Started At,Last Active,Duration (sec)
s_1772386803085_hun76w,InfoBotDataset.pdf,2026-03-01T17:40:02.105482,2026-03-01T17:42:02.117678,120.0
s_1772386904719_yvnhck,InfoBotDataset.pdf,2026-03-01T17:41:44.047948,2026-03-01T17:41:44.047948,0.0
s_1772513469195_l6le7r,InfoBotDataset.pdf,2026-03-03T04:51:07.401218,2026-03-03T05:04:07.046503,779.6
s_1772516006158_j1fevp,NutriSwapDataset.pdf,2026-03-03T05:33:26.340995,2026-03-03T05:34:56.375426,90.0
s_1772516316114_2reume,NutriSwapDataset.pdf,2026-03-03T05:38:36.283272,2026-03-03T05:45:36.327732,420.0
s_1772517057799_xizqzq,InfoBotDataset.pdf,2026-03-03T05:50:57.951524,2026-03-03T05:51:27.972373,30.0
s_1772517156797_v7rkdj,InfoBotDataset.pdf,2026-03-03T05:52:38.508402,2026-03-03T05:52:38.508402,0.0
s_1772526377850_5mjibe,InfoBotDataset.pdf,2026-03-03T08:26:17.875417,2026-03-03T08:32:08.584910,350.7
s_1772526576832_apogbz,InfoBotDataset.pdf,2026-03-03T08:29:36.702053,2026-03-03T08:33:36.665774,240.0
s_1772527415565_qzj4ql,NutriSwapDataset.pdf,2026-03-03T08:43:35.503702,2026-03-03T08:43:35.503702,0.0
s_1772527639356_lpgdhq,NutriSwapDataset.pdf,2026-03-03T08:47:19.273621,2026-03-03T08:51:21.233053,242.0
s_1772527898787_cc5lkk,NutriSwapDataset.pdf,2026-03-03T08:51:38.708574,2026-03-03T08:56:08.715540,270.0
s_1772528182253_kg3fge,InfoBotDataset.pdf,2026-03-03T08:56:22.146650,2026-03-03T09:01:25.647951,303.5
s_1772529104771_sfq893,NutriSwapDataset.pdf,2026-03-03T09:11:44.763917,2026-03-03T09:13:14.689902,89.9
s_1772529728842_v7zk4d,InfoBotDataset.pdf,2026-03-03T09:22:08.769208,2026-03-03T09:24:38.803152,150.0
s_1772529888307_oak8pg,NutriSwapDataset.pdf,2026-03-03T09:24:48.205205,2026-03-03T09:26:18.227539,90.0
s_1772530048258_gb6x3o,NutriSwapDataset.pdf,2026-03-03T09:27:28.154447,2026-03-03T09:30:29.097620,180.9
s_1772530178174_rjghrk,InfoBotDataset.pdf,2026-03-03T09:29:38.085613,2026-03-03T09:30:38.095934,60.0
s_1772530254376_wsiqmm,InfoBotDataset.pdf,2026-03-03T09:30:54.281312,2026-03-03T09:32:54.427495,120.1
s_1772530376644_8qq0hs,InfoBotDataset.pdf,2026-03-03T09:32:56.425070,2026-03-03T09:33:26.430620,30.0
s_1772530447837_utb44f,InfoBotDataset.pdf,2026-03-03T09:34:07.760369,2026-03-03T09:34:37.754273,30.0
