File,Function,Start Line,Lines,Cyclomatic Complexity,Type
backend\analytics.py,_get_conn,16,7,3,sync
backend\analytics.py,init_db,25,25,1,sync
backend\analytics.py,start_session,54,9,1,sync
backend\analytics.py,heartbeat_session,65,9,1,sync
backend\analytics.py,log_message,78,9,1,sync
backend\analytics.py,get_project_analytics,91,37,2,sync
backend\analytics.py,get_all_analytics,130,78,9,sync
backend\auth.py,__init__,20,5,1,sync
backend\auth.py,generate_otp,26,3,1,sync
backend\auth.py,generate_session_id,30,3,1,sync
backend\auth.py,create_otp,34,19,1,sync
backend\auth.py,verify_otp,54,27,5,sync
backend\auth.py,_cleanup_expired,82,7,2,sync
backend\auth.py,__init__,96,10,3,sync
backend\auth.py,send_otp,107,54,3,sync
backend\auth.py,__init__,174,4,1,sync
backend\auth.py,is_allowed,179,21,3,sync
backend\bot.py,classify_question,172,48,5,sync
backend\bot.py,is_gibberish,251,45,14,sync
backend\bot.py,match_small_talk,361,11,6,sync
backend\bot.py,ask_lumira,378,99,12,sync
backend\bot.py,__init__,26,4,1,sync
backend\bot.py,add,31,6,3,sync
backend\bot.py,get_formatted,38,10,4,sync
backend\bot.py,get_last_answer,49,6,4,sync
backend\bot.py,clear,56,5,3,sync
backend\ingest.py,ingest_document,13,42,3,sync
backend\routes\analytics_routes.py,analytics_session_start,16,3,1,sync
backend\routes\analytics_routes.py,analytics_session_heartbeat,22,3,1,sync
backend\routes\analytics_routes.py,analytics_all,28,12,3,sync
backend\routes\analytics_routes.py,analytics_project,43,2,1,sync
backend\routes\auth_routes.py,generate_otp,10,7,3,async
backend\routes\auth_routes.py,verify_otp,20,4,2,async
backend\routes\chat.py,_dataset_exists,20,5,2,sync
backend\routes\chat.py,speech_to_text,28,33,6,async
backend\routes\chat.py,speak,64,2,1,async
backend\routes\chat.py,chat_endpoint,69,16,4,async
backend\routes\files.py,_get_upload_dir,19,5,1,sync
backend\routes\files.py,_sanitize_filename,26,10,1,sync
backend\routes\files.py,check_file_exists,39,7,1,sync
backend\routes\files.py,upload_file,49,40,7,async
backend\routes\files.py,list_files,92,9,2,sync
backend\routes\files.py,delete_file,104,28,4,sync
backend\routes\health.py,read_health,7,2,1,sync
backend\services\tts_service.py,_clean_text_for_tts,21,35,2,sync
backend\services\tts_service.py,speak,58,26,5,async
